"Metric","R2_TEST (n=288)","SOOP (n=157)","R3_NEW (n=317)"
"Dice","0.605 (0.289); 0.726 [0.448-0.829]; 0.000-0.934","0.538 (0.353); 0.663 [0.104-0.846]; 0.000-0.964","0.539 (0.315); 0.613 [0.307-0.814]; 0.000-1.000"
"Lesion-wise F1","0.558 (0.337); 0.500 [0.333-1.000]; 0.000-1.000","0.419 (0.309); 0.429 [0.143-0.667]; 0.000-1.000","0.417 (0.306); 0.400 [0.222-0.625]; 0.000-1.000"
"Soft-map PR-AUC","0.712 (0.290); 0.850 [0.610-0.921]; 0.000-0.983","0.677 (0.331); 0.822 [0.486-0.960]; 0.000-0.996","0.636 (0.325); 0.752 [0.465-0.906]; 0.000-0.987"
"Absolute volume difference, mL","10.529 (20.105); 2.146 [0.352-11.423]; 0.000-168.725","13.672 (28.799); 3.997 [0.789-12.098]; 0.001-246.275","6.291 (11.337); 1.768 [0.427-6.800]; 0.000-107.906"
"Absolute lesion-count difference","1.517 (2.429); 1.000 [0.000-2.000]; 0.000-24.000","3.892 (8.982); 2.000 [1.000-3.000]; 0.000-87.000","2.568 (3.468); 1.000 [0.000-3.000]; 0.000-28.000"
